recall,wrecall,precision,wprecision,pred_node_count,pred_nb_node_count,pred_formula_count,pred_edge_count
0.85910654,0.93863523,0.08070618,0.0735558,1567,1005,1586,10218
0.77192986,0.9930308,0.15591398,0.1680547,109,52,186,776
0.65333337,0.9161551,0.15517241,0.24874613,410,186,174,2526
0.7692308,0.99708605,0.053846154,0.08139732,101,58,130,744
0.7741935,0.99854016,0.099999994,0.102368206,41,19,110,208
0.5,0.82310975,0.120000005,0.1566473,277,126,250,2092
0.8666667,0.988655,0.11111112,0.11963907,266,217,504,1596
0.62068963,0.9864815,0.025089607,0.039058432,128,82,279,904
0.84,0.9817026,0.06875,0.088901356,101,47,160,744
0.6904762,0.92459553,0.22727272,0.2157626,63,29,110,402
0.7222222,0.9558067,0.087248325,0.15239544,101,67,149,744
0.8947368,0.9967731,0.067961164,0.05438389,32,25,103,140
0.85882354,0.8050678,0.033033032,0.023414902,794,441,999,5766
0.79999995,0.99560946,0.025817556,0.030459348,476,230,581,4832
0.9258203,0.9897305,0.17563528,0.2267246,2788,1436,1338,28092
0.89285713,0.98976254,0.038702928,0.028253932,859,655,956,9496
0.5769231,0.9713503,0.046511628,0.034544393,47,24,129,252
0.90000004,0.9998809,0.060975607,0.029666502,25,20,82,94
0.80722886,0.9322463,0.08443272,0.040908158,1498,366,379,10642
0.5358491,0.84584135,0.17391305,0.16473931,549,264,391,3648
0.8255814,0.96341467,0.22173274,0.18521708,1695,1243,681,9156
0.8607595,0.9506688,0.051049348,0.04170984,1138,808,1763,10524
0.87635237,0.8988676,0.20547944,0.21105328,1441,637,949,11870
0.906542,0.968917,0.056712963,0.04770737,1271,573,864,10872
0.9424084,0.9550525,0.06934813,0.06562999,1073,503,721,9066
0.72565156,0.87424827,0.16010274,0.12675469,2102,1855,1168,12130
0.85714287,0.9971814,0.037275065,0.034719143,659,234,778,4894
0.75478923,0.9053637,0.095285855,0.10351338,928,400,997,6276
0.9583334,0.96024096,0.052805282,0.050295137,790,284,909,6048
0.7773196,0.9080159,0.13140728,0.08431047,2774,2491,1073,16732
0.9259259,0.925405,0.05100182,0.05565913,399,244,549,2390
0.6073059,0.9056417,0.08944954,0.05723846,825,605,436,4144
0.923077,0.9991865,0.024999999,0.0059436513,876,304,440,4148
0.7916667,0.9830359,0.01231803,0.0063591413,1159,365,893,9946
0.72727275,0.9361102,0.22388059,0.19305936,48,21,67,292
0.85882354,0.99481237,0.119266056,0.12240522,362,286,327,2136
0.51724136,0.9947345,0.107142866,0.0887194,25,15,56,94
0.80794704,0.9466901,0.13061224,0.12413981,977,331,490,5726
0.7420635,0.9439509,0.26988637,0.24587974,515,326,352,2628
0.8181819,0.99976796,0.08064516,0.035615806,25,14,62,94
0.5100864,0.7993661,0.1163522,0.10436323,762,569,636,4722
0.70212764,0.88816994,0.17322835,0.18970075,228,74,127,1052
0.90909094,0.9921717,0.118644066,0.10185122,33,16,59,162
0.3,0.49432856,0.02739726,0.010117161,40,20,73,190
0.6981982,0.94573337,0.045038704,0.025136942,1431,835,1421,12224
0.9008264,0.99283075,0.113168724,0.10547198,750,397,486,6770
0.85064936,0.9791307,0.090909086,0.11297944,605,300,627,4834
0.8888889,0.98924625,0.009536482,0.0125429705,3428,3249,4509,28988
0.8552632,0.9861796,0.10290238,0.11118614,297,213,379,1708
0.8169014,0.9968351,0.09785933,0.10645525,168,90,327,1394
1.0,0.99999994,0.033816423,0.07364968,114,72,207,720
0.893617,0.9871868,0.033925686,0.024015913,375,224,619,3190
0.79310346,0.99764127,0.024590163,0.013552273,318,119,366,2588
0.4509804,0.49861276,0.12982929,0.09262104,2593,819,2226,21502
0.6258503,0.8187721,0.046798028,0.064607725,912,378,812,9196
0.7094017,0.7830648,0.011927878,0.0067073987,1511,1355,3605,15638
0.9426229,0.92279536,0.051905386,0.035397936,1365,918,1522,8704
0.8787879,0.987702,0.028122416,0.02040695,1390,624,1209,9630
0.916129,0.97458076,0.05441696,0.0476183,1131,672,1415,7806
0.6831683,0.77883315,0.050183598,0.05187409,503,388,817,4198
0.8783784,0.91625154,0.05511811,0.029040765,1209,713,1016,8884
0.7478261,0.9153818,0.08375452,0.057837203,963,572,1385,7148
0.8571429,0.9983686,0.0754717,0.10267928,155,39,106,1560
0.86956525,0.98853266,0.21390375,0.29587412,261,135,187,1700
0.90909094,0.99805,0.081081085,0.12704103,82,23,74,600
1.0,1.0,0.019498607,0.020394318,520,127,359,3534
0.90909094,0.9955443,0.053140096,0.02708452,519,178,207,3528
0.877551,0.9494404,0.024425287,0.027247567,1567,306,696,26202
0.14285715,0.9546715,0.08695652,0.059179366,20,10,23,64
0.36434108,0.49766165,0.08450704,0.042718988,1100,105,284,5974
0.92857146,0.9965122,0.017391305,0.011609482,478,100,345,5532
0.6821192,0.8796404,0.060027286,0.044042535,466,329,733,2858
0.94308937,0.9900704,0.19834709,0.22386086,183,110,242,1692
0.5909091,0.9619298,0.08928572,0.14249007,101,66,168,744
0.95918363,0.9961813,0.05446623,0.06174655,308,194,459,2532
0.9457364,0.99853194,0.10463378,0.09263648,398,171,669,3272
0.67774934,0.67193043,0.1438515,0.113687456,758,437,862,6508
0.83606553,0.99023503,0.02279924,0.023715626,1678,1425,1579,22552
0.8275862,0.9913808,0.12037037,0.18108211,217,94,216,1840
0.4047619,0.9263715,0.13986014,0.183633,152,63,143,1120
0.8648649,0.9897723,0.09137055,0.118445806,123,51,197,1002
0.7171216,0.96855605,0.15447155,0.13467729,1169,739,615,7202
0.54850745,0.3948989,0.17591126,0.19050848,762,601,631,3374
